,Unnamed: 0,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
52813,52813,CC1=NN2N=COC2=N1,0.0257199999999999,56.22,124.038510748,0,5,"(46,)",0.3434685484851947,-0.4093312573765399,0,2,0,1.8519,-448.922621,-448.923565,-448.930161,-448.961424,-0.2599,-0.0329,0.227,0.091762
115512,115512,COC1CC(=O)C1(C)C,1.0004,26.3,128.083729624,0,2,"(52,)",0.1432051273362754,-0.3799789593113364,1,1,1,2.8416,-424.221078,-424.222022,-424.232383,-424.267707,-0.2346,-0.018,0.2166,0.178842
28078,28078,OCCC1(CCC1)C#N,1.0626799999999998,44.02,125.084063972,1,2,"(50,)",0.0690147816566713,-0.3963172877142219,2,1,0,3.2104,-403.13918,-403.140124,-403.149765,-403.18467,-0.2732,0.0291,0.3023,0.170607
25173,25173,CC1CC1(C)C1CC1,2.442500000000001,0.0,110.109550448,0,0,"(46,)",-0.0268910673245044,-0.0619576481270848,1,2,2,0.1635,-313.040976,-313.041921,-313.050903,-313.08406,-0.2459,0.0931,0.339,0.199471
67446,67446,C1OC23C=CC(C=C2)C13,1.1274,9.23,120.057514876,0,1,"(46,)",0.1102164539096861,-0.3659254292531262,0,3,1,1.7574,-384.597605,-384.598549,-384.604576,-384.634379,-0.2267,-0.0148,0.212,0.138207
15361,15361,CN1C2COCOCC12,-0.3267000000000002,21.47,129.078978592,0,3,"(52,)",0.1463675496574294,-0.3537386758216847,0,2,2,1.9136,-440.227585,-440.228529,-440.236495,-440.268726,-0.2238,0.0716,0.2954,0.172997
133402,133402,CCN1N=CC(N)=C1N,0.0674,69.86,126.09054632,2,4,"(50,)",0.1445916247304838,-0.3944454031881655,1,1,0,2.1298,-415.392546,-415.39349,-415.40293,-415.437409,-0.1967,0.0392,0.2359,0.161283
101839,101839,COC=NC1CCOC1,0.4499999999999998,30.82,129.078978592,0,3,"(52,)",0.1688257750155099,-0.4866707503199461,2,1,1,3.5563,-440.268082,-440.269026,-440.278582,-440.315226,-0.2419,0.0179,0.2598,0.170767
127173,127173,NC(=N)C(O)C#N,-1.1931500000000002,93.89,99.04326178,3,3,"(38,)",0.1971079215919478,-0.3845380086817877,1,0,1,3.8445,-356.690432,-356.691376,-356.698773,-356.730362,-0.2724,-0.019,0.2534,0.090046
47833,47833,O=C(OCC#C)C1CC1,0.5728000000000001,26.3,124.052429496,0,2,"(48,)",0.309390752876644,-0.4522944194744164,2,1,0,1.527,-421.800024,-421.800968,-421.810181,-421.845934,-0.2715,0.0096,0.2811,0.133912
79242,79242,O=CC12CN3C(C=C1)C23,-0.1920999999999999,20.08,121.052763844,0,2,"(46,)",0.1323660983336598,-0.3022973947380077,1,3,4,1.4016,-400.695572,-400.696516,-400.703404,-400.734801,-0.2418,-0.0357,0.2061,0.124944
85921,85921,ON=C1CC=C(C1)C=O,0.7357,49.66,125.047678464,1,3,"(48,)",0.1456014590555757,-0.4108869306227818,1,1,0,3.1885,-437.864861,-437.865805,-437.87419,-437.90768,-0.2492,-0.0619,0.1873,0.123079
20930,20930,CC#CC1(C)OCC1C,1.4347,9.23,124.088815004,0,1,"(50,)",0.1301116312807007,-0.3618564174698762,0,1,2,1.8405,-387.047277,-387.048221,-387.058923,-387.096192,-0.2414,0.0372,0.2786,0.179347
76865,76865,OC1(CC2CC2C1)C=O,0.3463,37.3,126.06807956,1,2,"(50,)",0.1510719997486123,-0.3823705533703907,1,2,2,2.3463,-423.030665,-423.031609,-423.039627,-423.072016,-0.2652,-0.0367,0.2285,0.159593
18441,18441,CCC1CCCC1,2.5866000000000007,0.0,98.109550448,0,0,"(42,)",-0.0416908582843521,-0.0651181814171023,1,1,0,0.0445,-275.002533,-275.003477,-275.011437,-275.044853,-0.3018,0.0824,0.3842,0.196559
35281,35281,CCN(C)C(C)=O,0.4845999999999999,20.31,101.084063972,0,1,"(42,)",0.2186738682658362,-0.3462819403495827,1,0,0,3.4689,-327.004004,-327.004948,-327.013853,-327.047524,-0.2314,0.0367,0.2681,0.158517
103774,103774,CC1=NCCC(=O)O1,0.3517,38.66,113.047678464,0,3,"(44,)",0.313622244284044,-0.4121992465672928,0,1,0,2.0808,-399.852395,-399.853339,-399.860619,-399.892283,-0.2702,-0.0205,0.2497,0.119217
42465,42465,CC1OC11C2CN2C1=O,-0.6317000000000002,32.61,125.047678464,0,2,"(48,)",0.2598162200363327,-0.3535400798657015,0,3,4,4.6963,-437.829628,-437.830572,-437.838591,-437.871267,-0.2482,-0.0307,0.2175,0.122767
76949,76949,CC12OC3OC1C2C3O,-0.5091000000000003,38.69,128.047344116,1,3,"(50,)",0.1846669459383701,-0.3873141080989355,0,4,5,1.9352,-458.942803,-458.943747,-458.950859,-458.982053,-0.235,0.0818,0.3168,0.136974
44927,44927,O=CN1CCC(=C1)C#N,0.2559799999999999,44.1,122.048012812,0,2,"(46,)",0.2132028378401155,-0.3202973146673352,1,1,0,5.308,-416.854495,-416.855439,-416.863657,-416.898323,-0.2361,-0.0552,0.1809,0.114065
17937,17937,OC1=CN=C(F)C=C1F,1.0654,33.120000000000005,131.018270156,1,2,"(48,)",0.2155024326985587,-0.5037245255571062,0,1,0,2.8232,-521.923703,-521.924647,-521.93154,-521.962933,-0.2408,-0.034,0.2068,0.077063
6606,6606,OC(C=O)C12CC(C1)C2,0.3463,37.3,126.06807956,1,2,"(50,)",0.1485414272343039,-0.3850514555764124,2,3,1,2.2419,-422.973245,-422.974189,-422.982447,-423.015893,-0.2676,-0.0378,0.2298,0.158807
34919,34919,CC1(CO)OC11CCC1,0.6903000000000001,32.76,128.083729624,1,2,"(52,)",0.1180480458728313,-0.3932656690707143,1,2,1,2.109,-424.19132,-424.192265,-424.201814,-424.236239,-0.256,0.0696,0.3256,0.180777
31719,31719,CCN1N=C(C)C(C)=N1,0.91484,30.71,125.095297352,0,3,"(50,)",0.0825054352829664,-0.1847054834657696,1,1,0,0.2273,-399.351423,-399.352367,-399.362297,-399.398309,-0.2327,0.0114,0.2441,0.170659
84586,84586,O=C1CC(CC2CO2)N1,-0.3362,41.63,127.063328528,1,2,"(50,)",0.2217939343328891,-0.3730465630703411,2,2,2,5.1037,-439.075198,-439.076143,-439.08463,-439.118724,-0.2445,0.0381,0.2826,0.147489
61354,61354,CNC1=C(NN=C1)C#C,0.4327,40.71,121.063997224,2,2,"(46,)",0.130487681074921,-0.3845459003751199,1,1,0,2.1362,-396.900244,-396.901188,-396.909957,-396.94354,-0.1903,-0.0108,0.1795,0.124998
125401,125401,OC1C2CC(=O)CC12O,-0.9289,57.53,128.047344116,2,3,"(50,)",0.1358824988272112,-0.3896801637688122,0,2,3,2.9503,-458.961379,-458.962323,-458.970611,-459.003228,-0.2378,-0.0107,0.2271,0.134693
125559,125559,ON=C1CNC(=C1)C#C,-0.0630999999999998,44.620000000000005,122.048012812,2,3,"(46,)",0.1013269895234132,-0.410585897819357,0,1,0,2.0997,-416.735989,-416.736933,-416.745305,-416.778248,-0.1924,-0.0467,0.1457,0.112104
82139,82139,CCC1(CO1)C(O)C#N,0.0498799999999999,56.55,127.063328528,1,3,"(50,)",0.1710910215875752,-0.3750571355096053,2,1,2,4.0379,-439.05964,-439.060584,-439.070321,-439.105497,-0.2802,0.0052,0.2855,0.145312
44259,44259,CN1N=C(O)OC1=N,-0.80183,75.03999999999999,115.0381764,2,5,"(44,)",0.4111992124784331,-0.4645498145682248,0,1,0,1.9071,-431.917019,-431.917964,-431.925708,-431.958707,-0.203,0.0348,0.2378,0.09516
73361,73361,CCC1C=CC(O)C1O,0.3042000000000001,40.46,128.083729624,2,2,"(52,)",0.0985354650072354,-0.3894704569591073,1,1,3,2.3598,-424.226497,-424.227441,-424.236646,-424.270581,-0.2516,-0.002,0.2497,0.182927
44775,44775,CC1COC(=N)C(=O)O1,-0.0744299999999999,59.38,129.042593084,1,4,"(50,)",0.3934689872623688,-0.4689962883450759,0,1,1,4.7979,-475.055907,-475.056851,-475.064915,-475.097879,-0.2767,-0.0568,0.2199,0.124764
24274,24274,CC(=O)C(O)C(C)(C)C,0.9824,37.3,130.099379688,1,2,"(54,)",0.1582393391895797,-0.3847899324899591,1,0,1,2.4476,-425.440336,-425.441281,-425.452707,-425.488957,-0.2342,-0.0164,0.2177,0.200836
82867,82867,COC1=C(N)NN=C1C,0.3089199999999998,63.93,127.074561908,2,3,"(50,)",0.1829024411168761,-0.4910986076772914,1,1,0,2.3356,-435.262082,-435.263027,-435.272731,-435.307362,-0.1975,0.0396,0.2371,0.147715
4550,4550,N#CCC1CCOCO1,0.66308,42.25,127.063328528,0,3,"(50,)",0.1466326710889968,-0.3553122407515492,1,1,1,4.4649,-439.095004,-439.095948,-439.10412,-439.137426,-0.2769,0.032,0.3089,0.149207
110990,110990,CN1C=C(O)C(CO)=C1,0.2229999999999999,45.39,127.063328528,2,3,"(50,)",0.1382001832652997,-0.5059822415971558,1,1,0,1.5995,-439.091958,-439.092902,-439.102768,-439.138662,-0.1844,0.0524,0.2368,0.146609
12371,12371,CC12OCC3C1C(O)C23,0.0119999999999999,29.46,126.06807956,1,2,"(50,)",0.0767018443453117,-0.3922974800980098,0,5,2,2.3808,-422.97554,-422.976485,-422.984105,-423.015581,-0.2338,0.0758,0.3096,0.159814
72876,72876,CC12CC1C(C2)OC=N,1.40857,33.08,125.084063972,1,2,"(50,)",0.166534436252234,-0.4802313108813154,2,2,3,3.199,-403.11074,-403.111684,-403.120798,-403.155861,-0.249,0.0257,0.2747,0.169941
117585,117585,CC12OCC3C4C1N4C23,-0.1599000000000001,12.24,123.068413908,0,2,"(48,)",0.0982712254838501,-0.3715218418176778,0,4,6,1.0772,-401.889287,-401.890231,-401.896849,-401.927409,-0.2466,0.0728,0.3194,0.149757
81785,81785,OC1(CCC=CC1)C=O,0.6565,37.3,126.06807956,1,2,"(50,)",0.1513836657218615,-0.3820519603265249,1,1,1,2.1708,-423.046041,-423.046985,-423.055427,-423.088382,-0.2441,-0.037,0.2071,0.159181
61860,61860,NCC(=O)OCC#C,-0.8785000000000001,52.32000000000001,113.047678464,1,3,"(44,)",0.3201572452725952,-0.4515665467619683,2,0,0,1.2786,-399.773732,-399.774677,-399.783886,-399.819449,-0.2493,0.0081,0.2574,0.116539
56678,56678,CC1(O)CC1([NH3+])C([O-])=O,-3.1282999999999985,88.0,131.058243148,2,3,"(52,)",0.1664409362600213,-0.5435966748753578,1,1,2,5.2741,-476.239846,-476.24079,-476.249812,-476.28304,-0.2378,0.0076,0.2454,0.146479
36745,36745,CCCC(CC=O)C#C,1.6249,17.07,124.088815004,0,1,"(50,)",0.1207219637144629,-0.3033538192079225,4,0,1,2.7548,-387.061895,-387.062839,-387.073811,-387.111149,-0.2454,-0.0222,0.2232,0.178636
100203,100203,C1C2OCC11COCC21,0.4216999999999999,18.46,126.06807956,0,2,"(50,)",0.063935189303583,-0.3803521415596999,0,4,3,0.2952,-422.981605,-422.98255,-422.989203,-423.020047,-0.2426,0.0767,0.3193,0.162736
